ell,epsilon,R_memory,R_markov_1,R_markov_2,R_markov_4,R_markov_8
1000.00,0.001000,0.870804,0.549766,0.549766,0.574177,0.606603
702.53,0.001423,0.852150,0.550370,0.550370,0.575541,0.608707
493.55,0.002026,0.820108,0.550286,0.550286,0.575208,0.607997
346.74,0.002884,0.785750,0.549382,0.549382,0.573587,0.605986
243.59,0.004105,0.754326,0.550774,0.550774,0.575183,0.607488
171.13,0.005843,0.722380,0.549690,0.549690,0.573354,0.603901
120.23,0.008318,0.692324,0.549276,0.549276,0.572252,0.602143
84.46,0.011839,0.673215,0.550279,0.550279,0.573594,0.602573
59.34,0.016853,0.648110,0.549922,0.549922,0.572185,0.598720
41.69,0.023988,0.627623,0.549283,0.549283,0.570549,0.594297
29.29,0.034145,0.609342,0.550214,0.550214,0.570272,0.591349
20.57,0.048603,0.592605,0.550060,0.550060,0.568420,0.584406
14.45,0.069183,0.579195,0.550127,0.550127,0.565642,0.576372
10.15,0.098477,0.568238,0.550778,0.550778,0.562966,0.567603
7.13,0.140174,0.559460,0.550155,0.550155,0.557564,0.559157
5.01,0.199526,0.552372,0.549755,0.549755,0.552332,0.552427
