tau_switch,k_budget,mse_sel_mean,mse_rnd_mean,gap_mean,gap_se
500,2,0.317109,0.935013,0.617904,0.004401
500,4,0.283643,0.873188,0.589545,0.004247
500,6,0.298659,0.819971,0.521313,0.004148
500,8,0.327502,0.783158,0.455656,0.004817
500,10,0.352534,0.739600,0.387066,0.004509
500,12,0.375805,0.692073,0.316268,0.006074
500,16,0.437219,0.633547,0.196328,0.005861
500,20,0.486116,0.588048,0.101932,0.005053
500,24,0.511004,0.535672,0.024668,0.005274
500,32,0.552823,0.481399,-0.071423,0.005622
500,48,0.484069,0.392233,-0.091837,0.003304
500,64,0.339528,0.339528,0.000000,0.000000
1000,2,0.215283,0.899099,0.683817,0.005618
1000,4,0.186655,0.820388,0.633733,0.002861
1000,6,0.201635,0.742185,0.540550,0.005510
1000,8,0.219020,0.692524,0.473504,0.004838
1000,10,0.245896,0.628900,0.383004,0.005651
1000,12,0.265369,0.595040,0.329672,0.006237
1000,16,0.310314,0.522791,0.212477,0.004797
1000,20,0.356250,0.472656,0.116406,0.002727
1000,24,0.388149,0.437084,0.048935,0.005162
1000,32,0.411842,0.373647,-0.038194,0.004160
1000,48,0.375136,0.300574,-0.074562,0.001875
1000,64,0.265395,0.265395,0.000000,0.000000
2000,2,0.157279,0.879032,0.721753,0.004910
2000,4,0.126862,0.776201,0.649339,0.004220
2000,6,0.141931,0.709057,0.567126,0.003651
2000,8,0.165179,0.637264,0.472085,0.005707
2000,10,0.182075,0.581852,0.399777,0.004635
2000,12,0.204125,0.534091,0.329965,0.004668
2000,16,0.243281,0.466798,0.223517,0.003948
2000,20,0.284572,0.413137,0.128565,0.003771
2000,24,0.307702,0.377148,0.069446,0.005324
2000,32,0.343918,0.311930,-0.031989,0.003291
2000,48,0.311208,0.252567,-0.058641,0.002089
2000,64,0.215780,0.215780,0.000000,0.000000
